SubjectID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55
MOTION014,-0.3264467010131268,1.1067982624947659,1.0206481098749534,-0.8550287593597687,0.058584650559026126,0.6023809146898432,-0.5254077254895405,0.22847655612664092,0.8850316374713718,0.023164148537899592,1.0258170566098335,1.7630574192075277,-0.5188110212617941,-0.14995163147364568,0.2289539307917514,1.4978474015316738,-2.7174498606841206,-0.6031607080905976,1.0624341932942054,-0.7042968484536786,-0.037610753365499454,-0.007008022777801337,-1.0225321879672273,-0.29701125071140516,-0.3745091549061309,-0.4123524720126722,-0.2983333913283918,0.8295613114417966,0.7818697736324343,-1.1490684795194708,-1.0422109678152036,0.334332485629648,2.2807920975631846,1.4176224357390368,0.9339154889909609,0.4565708259293379,-1.0037032680752342,-1.9582327256222332,0.9555961813389342,0.671549692632375,-0.8109394223322691,-1.1427613719174659,-0.8110105243338713,-1.3640324058808253,1.3905077327667588,-0.3707555306112443,-0.30001646009015376,1.1527968486823932,-0.6931535772484859,-1.4312477946687348,0.3110471950317047,0.8125993285370374,-1.001257046058321,0.4503298072806852,0.15546926250097734
MOTION018,-0.4942616472215668,-1.3918951045610382,0.5451797988750782,-0.534767636598664,-0.060940187893481976,0.23341860969184366,-0.37531801593767367,-1.5748478534877222,-0.8810699885179943,-0.14204774042473156,0.25467194414092414,-0.3412822848163259,0.39537172745555016,0.2518190512753204,1.8297707698504952,0.7743742745006649,0.33959687218808815,0.9894874114962844,0.19340933973675334,-0.32254579005675965,0.5688151076238687,-0.47339163100421905,0.2515400048897015,-0.28814945594881824,-1.677083807709782,3.148838460801961,-0.12775444156992236,0.7958533452670492,0.6479033958404838,-1.2757854372012862,0.34298647682946637,-0.33746162978855543,-0.2627375487215285,0.5807924428721265,0.2380183799773463,0.7855627648054054,2.411205350880176,1.3756131362640571,0.4174134761687706,-1.7263515369548266,1.690909953995101,-1.408159072623736,1.02787335862716,-0.466712177333578,-0.11800543248349818,0.2809489005587035,-0.5738534628188965,0.6699601918803665,-0.7524984549922799,-1.1092929609122941,0.9508637433759047,0.8388174655778138,0.47168939078312394,1.5123827324585188,-0.6004646329441535
MOTION019,-0.9943761238642344,0.5181947930604932,-0.17648105530724933,1.4317266299391402,-0.36894318535578363,0.050180398703414605,-1.528765448002542,-0.13225825873494573,0.7190142083188387,-0.2647601322537393,0.4016452393962539,-0.9671297857549052,0.7437339698023764,0.08567264873059166,-0.45932927386974365,0.3115252074193599,1.6639230593693968,-1.2036186365188992,0.26438965014753313,-0.3422618273665929,2.220780962194054,1.0284598565659324,-1.4163424109125928,-0.05314146838328114,0.10905122338150305,-2.0018840676478193,-0.7464009781464431,-0.9407477614208245,1.015637061239302,-1.3213383111321122,0.27387117415873624,-1.196472380090543,-1.2771724284235275,0.32729855713694056,0.22041797495006668,0.04735183016689229,-0.15448817857371502,0.6600894200905363,1.9982006010880766,-0.3222446252558846,-0.7762366867107191,1.2270685879812753,-0.18244769197854832,-0.4657070798841375,1.1061173973984888,1.721979773389003,0.46856850190042465,0.0017708518170398261,-1.5506597646526545,-0.1817576849564406,0.6422133428671144,-1.218744226903549,1.052174196058552,1.9828096694501056,-0.642584116854586
MOTION020,0.89548159795308,1.3769713579473521,0.9563714122844011,-0.0019306133574320515,0.2684363535118432,0.1886518547891022,-0.9106923777130737,0.37788888040590357,-0.01583894136669249,0.51758887411502,-1.182411566980836,0.4312516237920294,0.20391801346886457,-0.16611657878718886,0.2251982190671136,0.46246495166066154,0.4371140683813412,-0.35033362030363613,-0.208881334160495,1.403669017723416,1.2718055970106694,0.6052526354162319,-0.14834057219393307,0.17621644010680598,0.30472651526616595,0.999322504524204,0.71662064968939,-1.1553982116438926,-0.852950119944118,0.2670970175177692,0.9455949772984329,0.9993383289564313,-0.12400318579264426,2.452028095879022,0.06865252964817158,0.7290101365168326,-0.13472347322281739,1.237925867339447,-2.162406308341748,0.28641481137743147,0.5031879251739269,-1.7911706164591605,-2.603176390211033,-1.3701152974385022,-0.7902865979801492,0.6134467297528782,0.39945594249140326,-1.7690260974368497,-1.5645379925373109,-0.3896235567365727,-0.174305889529202,-1.6795363492204396,-0.11838209698036817,-1.1836104851004334,1.7826114304092648
MOTION022,-1.5115025290975879,-1.073951008690197,-0.5133130398831353,-0.7179958782262258,2.296475959962909,0.6617564879995109,-0.9391776119766606,-0.6548615197722905,-0.7697253322407042,-0.3042357417554925,-1.7133311485728118,0.6052574558773315,0.16936671260922914,0.8489434544389328,-0.910693648971276,0.24926729289335098,-0.1604732649823916,0.257950796125541,-2.0064134267498983,0.12988525825117989,-0.831665807060368,1.32124064451417,-0.8871003007480219,0.9025099276152032,0.8919122706617185,-1.0794266934771495,0.21741447336086192,-0.02568609684188908,1.132883559803074,-1.4949674894040927,-1.2073079447275277,1.41963254448376,-0.06992136586865047,-0.45680617574624727,0.3573158725124172,-0.18720992350482513,-1.1818949155015832,1.3169117901899219,-0.5706067797638245,0.572962602367339,1.4846317719393394,0.16617085546105265,0.42771588114743825,-1.1266789562877668,-0.46993910100136743,1.5949024507283414,-1.190157274617005,1.2552691107290872,0.6499752521530148,0.32794556432358385,0.8673773084886894,1.0472117625352009,0.6202697872175845,-1.6159651764862322,0.2618763797483858
MOTION023,0.06055806721105859,-0.9026944965652562,-0.650430476143128,-0.522795767422178,-1.7370309776323232,0.7200146692710832,-0.4534264857956992,1.3615777270425369,-1.62985602945238,-0.09899953391664322,-1.7111206940496533,2.1629367097029824,0.06373966707643836,1.220757872035499,-0.2818254900023305,-0.8284535802523264,0.4009862069714572,0.4801131591984381,1.0218005209124086,-0.27603940270145666,-1.4200669933634522,1.605645855202037,1.3436629815206416,-0.3029760480743134,0.04812401797566064,0.5117419523853234,-0.4543617104178101,-1.8725980837207334,-0.26071017154761544,-1.2694766629460918,-0.700395218761764,-0.775654321348896,-0.6168808997424806,1.2603306955043705,-0.6175540645064973,0.2530052415803087,-0.27257816083886277,0.8787388417739703,0.8889246806755452,-0.6650011052465926,-2.23941054858537,0.18626122167462783,1.3397865205946817,-0.45824308190020746,0.3485469518727051,-0.1444619930450032,0.7725822380140261,-1.0438325669794357,1.1160369355544961,-1.3265993799594178,-0.4459862825666854,0.06258147742700292,-1.4249179501066807,-0.08783342926174093,-0.3654822490227932
MOTION025,0.7229557424407254,1.5728402569192181,0.4882664566521946,-0.758426105021897,-0.6221694977928665,-0.290446312066238,-0.7127524395275979,-0.7188484553920995,0.7731427067110701,-1.247926188894769,0.26084803463440565,-0.14433319335246925,-0.5590590448791087,0.5222469656765287,0.013491292084760168,-1.0607776954178416,0.5416600750469941,0.47845499056480506,1.7609939576259173,-0.19675190373245433,-0.787459637402053,0.9717767563976961,1.3758467685587652,-0.5359618170948197,0.394553990922639,0.00928429520730601,-0.09454870715691134,0.8889229424841146,-0.633421599274475,1.3700165639283512,-0.5264070559613473,-0.03003788247491856,0.12060672636336718,0.45099681408812187,-0.43956384513962526,-0.184570634628887,-1.245729432530061,1.3457774296744787,-1.3277464910681067,0.48436432174040656,0.4564657867241255,-0.45164903399230444,2.645689933707053,-0.24125090590393378,2.106245668359008,0.8787132534182243,-1.6388878560855626,1.3224606949389448,-2.14889187918421,1.5964008875805364,-1.4651373777085157,-0.190933950736338,0.7384480726371289,0.15984200954566866,1.1397350970395055
MOTION026,-1.5275239479963045,0.8074733395682503,1.1466392904421807,1.514102108055546,0.5224501548588861,-0.7437060239009656,-1.2687009373080915,-0.24180653562351134,1.0756803659677154,0.1059986188102752,1.1492248343694522,0.029176463917547954,-0.7625533418130587,0.5635239632273918,-0.598391318921851,0.33335648639351917,1.5459023660716655,0.7198209491468193,-1.504639302285003,-0.1360638820323088,-0.9800267189947554,0.9611328040244117,0.8899774203797124,1.5086226240259424,0.0922920612989321,1.4274896966279849,0.49608136612505405,0.4025248214217864,-0.9393068122350412,0.5694757285659946,-0.6173427409939286,0.6983619652027928,-0.7057462421741157,-0.8480343747324873,1.2127321346084932,2.5141531778237503,-0.1970447365738449,-0.1377410456373359,-0.202810280011607,1.040062290046192,-1.2574868051500543,0.257807950184228,-0.27209303587548367,-0.14218994734930884,1.1890093240699238,-1.7886682371891678,-0.7624518662290234,-1.779196025842093,0.9191172819781201,0.3090494465008543,1.155069582600816,0.9629435687724784,-0.377001730045362,1.328709816193756,-0.6071150777721166
MOTION029,0.3276421790895606,0.2923456318670711,-0.6905262116095604,-1.0417630237514566,-1.114773213039836,-0.9159561456781246,-0.5964190592045147,0.813959590699315,-0.38340289806329114,-1.3316183896711233,-0.22244918415705978,-1.49588455934354,-0.7942280459861285,-0.508608974828244,0.8130496885771478,0.37413085216489955,-0.18464559143996534,0.04446051850866395,-0.20815720149606237,-1.1308307787063379,-1.5116115044700378,0.1227663275195949,-0.1632367070287297,0.0709491050317467,2.6165237602033544,0.36226784900658227,-0.9042077701518797,0.9531274140679377,1.1418333104806555,-2.143333119282189,-1.0326508291609549,-0.5617419749481859,-1.359762052825958,0.14749353436029314,-2.0007567546542235,-0.6513002338245345,0.789802879856987,-1.5638691686561537,-0.6142480762473056,0.3052123225490341,1.8000321907688661,0.24055679807602307,-1.4877062274470332,-0.36768538008445806,0.7714390764478917,-1.6221598121946996,-0.4567887174857229,-1.5707459489680968,-0.1918621548658652,0.2599654366584726,-0.05456592854700124,-0.8338395949800848,0.6211930610934462,0.13131047499383813,-0.15045119958532197
MOTION031,2.305653995636796,0.49790642924308687,0.12130530800790662,-0.14124708206271094,0.5736627815491614,-1.5722390315626513,0.5066766446509231,0.5838527135575546,1.9913350934729201,-1.6460464755810575,0.6507835812634017,0.8562397937329994,-0.8402031691590219,0.6363623633963691,0.7733015984802812,-0.01606709186608175,-0.28290353480224095,0.42933267754636845,-0.45139874871248975,0.18535396017116654,-0.9537404105624802,0.13703633716755323,-1.314175206313653,0.7161637234117072,-1.5560547060041043,0.02503114791730833,-0.025713013541351453,-0.6145998091964664,1.2220579554297026,1.2400634874635177,-1.2995444007806463,0.7854113834620011,-1.7938111737942264,-0.1773358872413463,1.3290644786941415,-1.6728402700947693,0.0370762112506125,1.5449317106982994,0.7942277609182418,-1.7348254131505354,0.609589685876991,1.137904954726376,-0.11264975179455058,-0.8879613670547627,-0.05042446974709692,-1.1044281624693937,1.7228691886655008,0.22269266373821991,-0.332887472827686,-0.14410033036676034,0.7487674658322498,-0.21762481190460262,-0.9233765404727227,-0.727742416812127,0.3505489774545595
